date,symbol,actualEarningResult,estimatedEarning
2020-11-24,BBY,2.06,1.7
2020-11-24,IMBI,-0.39,-0.4
2020-11-24,CBPO,1.39,1.28
2020-11-24,BMTM,-0.03,-0.04
2020-11-24,ISDAF,0.22,0.16
2020-11-24,HRL,0.43,0.44
2020-11-24,PTMEF,32.91,38.37
2020-11-24,SJM,2.39,2.23
2020-11-24,TIF,1.11,0.66
2020-11-24,FLWPF,-0.07,-0.03
2020-11-24,XIACF,0.17,0.14
2020-11-24,MOHCF,0.39,0.08
2020-11-24,CHS,-0.48,-0.15
2020-11-24,EV,0.88,0.87
2020-11-24,CLNFF,0.59,0.7
2020-11-24,DELL,2.03,1.41
2020-11-24,DY,1.06,1.05
2020-11-24,DLTR,1.39,1.15
2020-11-24,DKS,2.01,1.01
2020-11-24,J,1.63,1.32
2020-11-24,GPS,0.25,0.32
2020-11-24,MOV,0.7,0.48
2020-11-24,RVLGF,-0.05,-0.02
2020-11-24,LX,2.15,1.79
2020-11-24,HPQ,0.62,0.52
2020-11-24,TITN,0.58,0.35
2020-11-24,TARS,-3.71,-0.5
2020-11-24,ORMP,-0.12,-0.21
2020-11-24,RAVN,0.24,0.12
2020-11-24,JWN,0.34,-0.06
2020-11-24,QADA,0.34,0.14
2020-11-24,VMW,1.66,1.44
2020-11-24,MDT,1.02,0.8
2020-11-24,PGR,1.89,1.72
2020-06-30,0Q1N.L,0.78,0.6666000000000001
2020-03-31,0Q1N.L,0.8,0.7373
2020-06-30,ATH.TO,-0.6749999999999999,-0.2727
2020-03-31,ATH.TO,-0.40499999999999997,-0.4545
2020-06-30,ATP.TO,0.035,0.10815
2020-03-31,ATP.TO,0.385,0.14420000000000002
2020-06-30,AI.TO,0.805,0.82915
2020-06-30,ATA.TO,0.42500000000000004,0.28785000000000005
2020-03-31,ATA.TO,0.65,0.45449999999999996
2020-06-30,AUP.TO,-0.65,-0.63125
2020-03-31,AUP.TO,-0.375,-0.606
2020-06-30,AUG.TO,-0.05,-0.0505
2020-03-31,AUG.TO,-0.05,-0.0505
2020-06-30,ACQ.TO,-1.33,-0.38885000000000003
2020-03-31,ACQ.TO,-1.4000000000000001,-0.035350000000000006
2020-06-30,BTO.TO,0.495,0.5454
2020-03-31,BTO.TO,0.45,0.4545
2020-06-30,BAD.TO,0.275,-0.1111
2020-03-31,BAD.TO,0.825,0.9999
